0,bien,gut,bien.mp3
1,travailler,arbeiten,travailler.mp3
2,la femme,die Frau,lafemme.mp3
3,le facteur,der Postbote,lefacteur.mp3
4,bon(ne) vivant(e),genussfreudig,bonvivant.mp3
5,sociable,gesellig,sociable.mp3
6,éprouver,empfinden,eprouver.mp3
7,tenir,haben;besitzen,tenir.mp3
8,gagner,siegen;(etw.) verienden,gagner.mp3
9,négliger qc.,etw. nicht beachten,negliger.mp3
10,guère,kaum; wenig,guere.mp3
11,attirant;attirante,attraktiv,attirant.mp3
12,la poussière,der Staub,poussiere.mp3
13,la toile d'araignée,das Spinnengewebe,araignee.mp3
14,le suivant,die Folge,suivant.mp3
15,farfelu; farfelue,komisch; flippig; chaotisch,farfelu.mp3